Name,Address,Latitude,Longitude,Provider1,Providerprice1,Provider2,Providerprice2,Provider3,Providerprice3,Provider4,Providerprice4,Provider5,Providerprice5,URL
Hotel-Pension Bernstein,"Nuernberger Str. 46, 10789 Berlín Alemania",52.50056076,13.33691978,Tripadvisor,100.27,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d632961-Reviews-Hotel_Pension_Bernstein-Berlin.html
Select Hotel Gendarmenmarkt Berlin,"Charlottenstr. 66, 10117 Berlín Alemania",52.51065063,13.39165592,Tripadvisor,99.59,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d1230216-Reviews-Select_Hotel_Gendarmenmarkt_Berlin-Berlin.html
Axel Hotel Berlin,"Lietzenburger Str 13-15, 10789 Berlín Alemania",52.4998436,13.34189224,Tripadvisor,99.37,Booking.com,,Hotels.com,,Expedia,99.2821,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d1230204-Reviews-Axel_Hotel_Berlin-Berlin.html
Pension Absolut Berlin,"Erich-Weinert-Str. 26, 10439 Berlín Alemania",52.55131149,13.41794205,Tripadvisor,99.2,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d1057812-Reviews-Pension_Absolut_Berlin-Berlin.html
Pension Guesthouse Berlin,"Schoenhauser Allee 59, 10437 Berlín Alemania",52.54485703,13.4130373,Tripadvisor,96.91,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d8671614-Reviews-Pension_Guesthouse_Berlin-Berlin.html
Greet Berlin Alexanderplatz,"Bernhard-Weiss-Str. 8, 10178 Berlín Alemania",52.5233345,13.41663265,Greet,96.3445,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d1872968-Reviews-Greet_Berlin_Alexanderplatz-Berlin.html
Mercure Hotel Chateau Berlin am Kurfuerstendamm,"Knesebeckstr. 38-49, 10719 Berlín Alemania",52.50053024,13.32144928,Tripadvisor,96,Booking.com,,Hotels.com,,Mercure,95.8122,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d609797-Reviews-Mercure_Hotel_Chateau_Berlin_am_Kurfuerstendamm-Berlin.html
Hotel Kurfurst,"Bleibtreustr. 34, 10707 Berlín Alemania",52.50084686,13.31970119,Tripadvisor,95.9,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d408529-Reviews-Hotel_Kurfurst-Berlin.html
Best Western Hotel Kantstrasse Berlin,"Kantstrasse 111, 10627 Berlín Alemania",52.50654984,13.30606174,Tripadvisor,95.24,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d199396-Reviews-Best_Western_Hotel_Kantstrasse_Berlin-Berlin.html
Hampton by Hilton Berlin City Centre Alexanderplatz,"Otto-Braun-Str. 69, 10178 Berlín Alemania",52.52453232,13.41862011,Tripadvisor,95.2,Booking.com,,Hotels.com,,Expedia,94.8169,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d12239014-Reviews-Hampton_by_Hilton_Berlin_City_Centre_Alexanderplatz-Berlin.html
INNSiDE by Meliá Berlin Mitte,"Chausseestrasse 33, 10115 Berlín Alemania",52.53295135,13.38055229,Tripadvisor,95.2,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d1917207-Reviews-INNSiDE_by_Melia_Berlin_Mitte-Berlin.html
Park Plaza Berlin,"Lietzenburger Str. 85, 10719 Berlín Alemania",52.49975967,13.32250309,Tripadvisor,95.2,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d233865-Reviews-Park_Plaza_Berlin-Berlin.html
Mercure Hotel Berlin City,"Invalidenstr. 38, 10115 Berlín Alemania",52.53047943,13.38172722,Tripadvisor,94.93,Booking.com,,Mercure,94.7477,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d260365-Reviews-Mercure_Hotel_Berlin_City-Berlin.html
Novotel Berlin Mitte,"Fischerinsel 12, 10179 Berlín Alemania",52.51306534,13.40501785,Novotel,94.8541,Tripadvisor,95.04,Booking.com,,Hotels.com,,Expedia,94.9556,https://www.tripadvisor.es/Hotel_Review-g187323-d250454-Reviews-Novotel_Berlin_Mitte-Berlin.html
Select Hotel The Wall Berlin,"Zimmerstr. 88, 10117 Berlín Alemania",52.50786591,13.38847065,Tripadvisor,94.01,Booking.com,,Expedia,93.9217,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d3572840-Reviews-Select_Hotel_The_Wall_Berlin-Berlin.html
