,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
180,De Aker - Nieuw Sloten,52.34364,4.7908,Restaurant De Halve Maen,52.34122309174193,4.793097466813496,Restaurant
181,De Aker - Nieuw Sloten,52.34907,4.77346,Fitnessclub Friends 4 Life,52.348280989554844,4.769408704266727,Gym / Fitness Center
182,De Aker - Nieuw Sloten,52.34907,4.77346,Harry Meijer BMW Motoren,52.3473579569417,4.766867528090687,Motorcycle Shop
183,De Aker - Nieuw Sloten,52.34907,4.77346,Nike Town Badhoevedorp,52.34769815503389,4.773500735423971,Museum
184,De Aker - Nieuw Sloten,52.34907,4.77346,Akerdijk,52.35003459047866,4.769740104675293,Trail
185,De Aker - Nieuw Sloten,52.34907,4.77346,Schommels op het hoekje,52.35051955109297,4.770040512084961,Playground
186,De Aker - Nieuw Sloten,52.34907,4.77346,Singer Auto Garage,52.348347,4.768865,Auto Workshop
187,De Aker - Nieuw Sloten,52.34907,4.77346,Terpstra Muziek,52.348841,4.767918,Music Store
188,De Aker - Nieuw Sloten,52.34907,4.77346,Jachthaven De hooglanden,52.353161,4.771116,Harbor / Marina
189,De Aker - Nieuw Sloten,52.34907,4.77346,Tramhalte Pilatus,52.3530576158259,4.776516654248902,Tram Station
190,De Aker - Nieuw Sloten,52.34907,4.77346,Restaurant Pizzeria il Paradiso,52.35112549620568,4.779937581826617,Pizza Place
191,De Aker - Nieuw Sloten,52.34546,4.79649,Speeltuin Sloten,52.34170280814588,4.795679272255508,Playground
192,De Aker - Nieuw Sloten,52.34546,4.79649,Café Restaurant Kerkzicht,52.34144684057444,4.7995410803678125,Pub
193,De Aker - Nieuw Sloten,52.34546,4.79649,IJshoeve,52.341324,4.793758,Ice Cream Shop
194,De Aker - Nieuw Sloten,52.34546,4.79649,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
195,Geuzenveld - Slotermeer,52.37788,4.8029,Hunkar Restaurant,52.37830173256485,4.8010791850075,Turkish Restaurant
196,Geuzenveld - Slotermeer,52.37788,4.8029,Toko Makasar,52.379226000351665,4.8033762790789005,Grocery Store
197,Geuzenveld - Slotermeer,52.37788,4.8029,Kruidvat,52.378187876666246,4.801579692200979,Drugstore
198,Geuzenveld - Slotermeer,52.37788,4.8029,Tramhalte Lambertus Zijlplein,52.37741682296526,4.803034876159117,Tram Station
199,Geuzenveld - Slotermeer,52.37788,4.8029,"Lambertus Zijlplein, amsterdam",52.377815,4.801184,Plaza
200,Geuzenveld - Slotermeer,52.37788,4.8029,Bakkerij Kara Firi,52.37932243319106,4.803771960221992,Bakery
201,Geuzenveld - Slotermeer,52.37788,4.8029,Versshop Özcan,52.37776379886488,4.801364793097988,Convenience Store
202,Geuzenveld - Slotermeer,52.37788,4.8029,EMRE Supermarkt,52.37929273349481,4.8039043826549115,Market
203,Geuzenveld - Slotermeer,52.37788,4.8029,Vomar Geuzenpoort Amsterdam,52.37920434184453,4.800849717730753,Grocery Store
204,Geuzenveld - Slotermeer,52.37788,4.8029,Tramhalte Colijnstraat,52.37695,4.806191325187683,Tram Station
205,Geuzenveld - Slotermeer,52.37788,4.8029,Aalbersestraat,52.37609121371561,4.797622454545146,Trail
206,Geuzenveld - Slotermeer,52.37788,4.8029,Mamma Rosa,52.38230630165417,4.802802939092752,Italian Restaurant
207,Geuzenveld - Slotermeer,52.37788,4.8029,Bushalte J. Cabeliaustraat,52.38229427942488,4.803581128927527,Bus Stop
208,De Aker - Nieuw Sloten,52.33872,4.79454,Later aan het water,52.33753150966372,4.794777138411776,Restaurant
209,De Aker - Nieuw Sloten,52.33872,4.79454,Molen van Sloten,52.34157969249928,4.792270660400391,Monument / Landmark
210,De Aker - Nieuw Sloten,52.33872,4.79454,De Patatza(a)k,52.34146,4.79253,Snack Place
211,De Aker - Nieuw Sloten,52.33872,4.79454,Speeltuin Sloten,52.34170280814588,4.795679272255508,Playground
212,De Aker - Nieuw Sloten,52.33872,4.79454,zwemschool vogel,52.335365394451884,4.794810165424971,Water Park
213,De Aker - Nieuw Sloten,52.33872,4.79454,IJshoeve,52.341324,4.793758,Ice Cream Shop
214,De Aker - Nieuw Sloten,52.33872,4.79454,Café Restaurant Kerkzicht,52.34144684057444,4.7995410803678125,Pub
215,De Aker - Nieuw Sloten,52.33872,4.79454,Restaurant De Halve Maen,52.34122309174193,4.793097466813496,Restaurant
216,De Aker - Nieuw Sloten,52.33872,4.79454,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
217,De Aker - Nieuw Sloten,52.33872,4.79454,SBHC Xenios,52.3394501646127,4.795645520588192,Hockey Field
218,De Aker - Nieuw Sloten,52.33872,4.79454,Studio 28,52.338645,4.794454,Comedy Club
219,De Aker - Nieuw Sloten,52.33872,4.79454,Arie Haring,52.34169817156776,4.793168992978021,Fish & Chips Shop
220,De Aker - Nieuw Sloten,52.33872,4.79454,Café Louman's Hoekje,52.341263320634845,4.790864085933609,Café
221,De Aker - Nieuw Sloten,52.33872,4.79454,Bushalte Rijstvogelstraat,52.33586352768354,4.790135622024536,Bus Stop
222,De Aker - Nieuw Sloten,52.33872,4.79454,Aviation Megastore Aalsmeerderbrug,52.33459400495878,4.793428611074385,Hobby Shop
223,Osdorp,52.36131,4.79003,Restaurant Bir Bey,52.36117237541153,4.783209761807791,Turkish Restaurant
224,Osdorp,52.36131,4.79003,Caffé Tostini,52.359925,4.783179,Café
225,Osdorp,52.36131,4.79003,New West Inn,52.36252051272109,4.794774637647998,Hotel
226,Osdorp,52.36131,4.79003,Sky Palace,52.361232232548595,4.784005088886827,Piano Bar
227,Osdorp,52.36131,4.79003,SUBWAY®,52.3606374,4.7831085,Sandwich Place
228,Osdorp,52.36131,4.79003,Sporthuis Harte,52.361374067411205,4.78529691696167,Hobby Shop
229,Osdorp,52.36131,4.79003,MediaMarkt,52.359868005417916,4.783461789095296,Electronics Store
230,Osdorp,52.36131,4.79003,Restaurant City West Remco,52.36232668094656,4.794975050066911,Breakfast Spot
231,Osdorp,52.36131,4.79003,Dilek Chicken,52.360519231631926,4.784502955982631,Fried Chicken Joint
